institution_type,level,program,state,minority,women,faculties,number_of_institutes,intake,enrollment,passed,placed
Government,DIPLOMA,ENGINEERING AND TECHNOLOGY,Karnataka,0,0,2170.0,105,25125,21795,7631,2702
Government,DIPLOMA,ENGINEERING AND TECHNOLOGY,Karnataka,0,1,192.0,10,2190,1740,604,99
Government,DIPLOMA,ENGINEERING AND TECHNOLOGY,Kerala,0,0,1069.0,55,15577,12818,5858,2484
Government,DIPLOMA,ENGINEERING AND TECHNOLOGY,Kerala,0,1,103.0,7,2035,1368,1075,409
Government,DIPLOMA,ENGINEERING AND TECHNOLOGY,Madhya Pradesh,0,0,1020.0,68,18410,14751,8019,2521
Government,DIPLOMA,ENGINEERING AND TECHNOLOGY,Madhya Pradesh,0,1,125.0,6,1590,887,291,125
Government,DIPLOMA,ENGINEERING AND TECHNOLOGY,Maharashtra,0,0,1682.0,48,23025,17761,10157,1727
Government,DIPLOMA,ENGINEERING AND TECHNOLOGY,Maharashtra,0,1,61.0,3,1020,875,576,30
Government,DIPLOMA,ENGINEERING AND TECHNOLOGY,Manipur,0,0,50.0,3,370,204,53,51
Government,DIPLOMA,ENGINEERING AND TECHNOLOGY,Meghalaya,0,0,63.0,3,320,270,133,20
Government,DIPLOMA,ENGINEERING AND TECHNOLOGY,Mizoram,0,0,47.0,3,200,153,40,45
Government,DIPLOMA,ENGINEERING AND TECHNOLOGY,Nagaland,0,0,10.0,2,180,60,19,19
Government,DIPLOMA,ENGINEERING AND TECHNOLOGY,Puducherry,0,0,201.0,6,1810,1501,689,978
Government,DIPLOMA,ENGINEERING AND TECHNOLOGY,Puducherry,0,1,38.0,2,340,270,120,100
Government,DIPLOMA,ENGINEERING AND TECHNOLOGY,Punjab,0,0,651.0,34,7963,4592,3498,1369
Government,DIPLOMA,ENGINEERING AND TECHNOLOGY,Punjab,0,1,124.0,5,1110,880,911,225
Government,DIPLOMA,ENGINEERING AND TECHNOLOGY,Rajasthan,0,0,872.0,41,7621,4600,2616,1035
Government,DIPLOMA,ENGINEERING AND TECHNOLOGY,Rajasthan,0,1,37.0,4,286,116,106,10
Government,DIPLOMA,ENGINEERING AND TECHNOLOGY,Sikkim,0,0,31.0,3,465,274,338,159
Government,DIPLOMA,ENGINEERING AND TECHNOLOGY,Tamil Nadu,0,1,118.0,4,1754,1354,1057,1060
Government,DIPLOMA,ENGINEERING AND TECHNOLOGY,Tamil Nadu,0,0,1281.0,56,21174,14887,6762,4815
Government,DIPLOMA,ENGINEERING AND TECHNOLOGY,Tripura,0,0,33.0,6,1010,793,372,30
Government,DIPLOMA,ENGINEERING AND TECHNOLOGY,Tripura,0,1,2.0,1,140,135,98,20
Government,DIPLOMA,ENGINEERING AND TECHNOLOGY,Uttar Pradesh,0,0,1019.0,130,31771,19106,10785,4163
Government,DIPLOMA,ENGINEERING AND TECHNOLOGY,Uttar Pradesh,0,1,142.0,16,3305,1918,1349,393
Government,DIPLOMA,ENGINEERING AND TECHNOLOGY,Uttarakhand,0,0,360.0,51,5303,2608,1905,738
Government,DIPLOMA,ENGINEERING AND TECHNOLOGY,Uttarakhand,0,1,14.0,3,320,227,214,145
Government,DIPLOMA,ENGINEERING AND TECHNOLOGY,West Bengal,0,0,1050.0,67,13410,8754,6148,1893
Government,DIPLOMA,ENGINEERING AND TECHNOLOGY,West Bengal,0,1,36.0,2,300,244,79,82
Govt aided,DIPLOMA,ENGINEERING AND TECHNOLOGY,Andhra Pradesh ,0,0,125.0,3,935,926,736,154
Govt aided,DIPLOMA,ENGINEERING AND TECHNOLOGY,Andhra Pradesh ,0,1,29.0,1,95,94,90,70
Govt aided,DIPLOMA,ENGINEERING AND TECHNOLOGY,Goa,0,0,73.0,2,350,347,243,117
Govt aided,DIPLOMA,ENGINEERING AND TECHNOLOGY,Gujarat,0,0,124.0,4,1210,1012,433,113
Govt aided,DIPLOMA,ENGINEERING AND TECHNOLOGY,Gujarat,1,0,24.0,1,430,422,139,36
Govt aided,DIPLOMA,ENGINEERING AND TECHNOLOGY,Haryana,0,0,243.0,5,2170,1646,986,395
Govt aided,DIPLOMA,ENGINEERING AND TECHNOLOGY,Haryana,0,1,41.0,2,370,239,197,71
Govt aided,DIPLOMA,ENGINEERING AND TECHNOLOGY,Jharkhand,0,0,44.0,5,750,670,277,191
Govt aided,DIPLOMA,ENGINEERING AND TECHNOLOGY,Karnataka,0,0,1427.0,43,14781,11845,5399,1727
Govt aided,DIPLOMA,ENGINEERING AND TECHNOLOGY,Karnataka,0,1,46.0,1,390,362,247,45
Govt aided,DIPLOMA,ENGINEERING AND TECHNOLOGY,Karnataka,1,0,291.0,7,3145,2200,1108,455
Govt aided,DIPLOMA,ENGINEERING AND TECHNOLOGY,Kerala,0,0,208.0,6,2336,2320,750,306
Govt aided,DIPLOMA,ENGINEERING AND TECHNOLOGY,Kerala,1,0,57.0,2,1098,1087,291,158
Govt aided,DIPLOMA,ENGINEERING AND TECHNOLOGY,Madhya Pradesh,0,0,89.0,4,1600,1400,874,393
Govt aided,DIPLOMA,ENGINEERING AND TECHNOLOGY,Maharashtra,0,0,634.0,19,5790,4417,3678,556
Govt aided,DIPLOMA,ENGINEERING AND TECHNOLOGY,Maharashtra,0,1,5.0,2,150,46,28,23
Govt aided,DIPLOMA,ENGINEERING AND TECHNOLOGY,Maharashtra,1,0,222.0,7,1870,1731,1429,181
Govt aided,DIPLOMA,ENGINEERING AND TECHNOLOGY,Maharashtra,1,1,5.0,1,40,40,27,22
Govt aided,DIPLOMA,ENGINEERING AND TECHNOLOGY,Punjab,0,0,292.0,4,2050,2072,1410,218
Govt aided,DIPLOMA,ENGINEERING AND TECHNOLOGY,Punjab,1,0,171.0,2,1120,1288,814,136
Govt aided,DIPLOMA,ENGINEERING AND TECHNOLOGY,Rajasthan,0,0,45.0,3,830,386,284,101
Govt aided,DIPLOMA,ENGINEERING AND TECHNOLOGY,Tamil Nadu,0,0,2117.0,34,16416,12540,9896,6491
Govt aided,DIPLOMA,ENGINEERING AND TECHNOLOGY,Tamil Nadu,0,1,29.0,1,190,208,147,63
Govt aided,DIPLOMA,ENGINEERING AND TECHNOLOGY,Uttar Pradesh,0,1,40.0,2,900,337,362,163
Govt aided,DIPLOMA,ENGINEERING AND TECHNOLOGY,Uttar Pradesh,0,0,641.0,22,11290,9295,5813,1835
Govt aided,DIPLOMA,ENGINEERING AND TECHNOLOGY,Uttarakhand,0,0,28.0,1,340,293,0,0
Govt aided,DIPLOMA,ENGINEERING AND TECHNOLOGY,West Bengal,0,0,46.0,3,630,338,305,60
Private-Aided,DIPLOMA,ENGINEERING AND TECHNOLOGY,Gujarat,0,0,14.0,2,540,392,0,0
Private-Aided,DIPLOMA,ENGINEERING AND TECHNOLOGY,Karnataka,0,0,22.0,2,535,439,90,63
Private-Aided,DIPLOMA,ENGINEERING AND TECHNOLOGY,Rajasthan,0,0,56.0,2,840,719,0,84
Private-Aided,DIPLOMA,ENGINEERING AND TECHNOLOGY,Uttar Pradesh,0,0,15.0,3,720,464,0,0
University Managed,DIPLOMA,ENGINEERING AND TECHNOLOGY,Chhattisgarh,0,0,6.0,1,120,78,0,0
University Managed,DIPLOMA,ENGINEERING AND TECHNOLOGY,Gujarat,0,0,115.0,2,1385,884,602,199
University Managed,DIPLOMA,ENGINEERING AND TECHNOLOGY,Madhya Pradesh,0,0,6.0,1,120,41,0,0
University Managed,DIPLOMA,ENGINEERING AND TECHNOLOGY,Maharashtra,0,0,90.0,2,340,298,195,145
University Managed,DIPLOMA,ENGINEERING AND TECHNOLOGY,Maharashtra,0,1,81.0,1,280,272,195,145
University Managed,DIPLOMA,ENGINEERING AND TECHNOLOGY,Maharashtra,1,0,9.0,1,60,60,0,0
University Managed,DIPLOMA,ENGINEERING AND TECHNOLOGY,Rajasthan,0,0,119.0,3,1200,798,493,216
Unaided - Private,UG,APPLIED ARTS AND CRAFTS,Haryana,0,0,60.0,1,120,24,20,10
Unaided - Private,UG,APPLIED ARTS AND CRAFTS,Maharashtra,0,0,116.0,5,300,268,168,105
Unaided - Private,UG,APPLIED ARTS AND CRAFTS,Uttar Pradesh,0,0,114.0,3,240,149,37,38
Unaided - Private,UG,APPLIED ARTS AND CRAFTS,Uttar Pradesh,1,0,25.0,1,60,59,34,34
Government,UG,APPLIED ARTS AND CRAFTS,Chandigarh,0,0,6.0,1,76,60,0,0
Government,UG,APPLIED ARTS AND CRAFTS,Delhi,0,0,1.0,1,255,0,0,0
Government,UG,APPLIED ARTS AND CRAFTS,Goa,0,0,19.0,1,50,50,0,0
Government,UG,APPLIED ARTS AND CRAFTS,Maharashtra,0,0,33.0,2,165,0,0,0
Government,UG,APPLIED ARTS AND CRAFTS,Puducherry,0,0,16.0,1,30,30,21,13
Unaided - Private,PG,APPLIED ARTS AND CRAFTS,Uttar Pradesh,0,0,62.0,1,120,0,0,0
Government,PG,APPLIED ARTS AND CRAFTS,Chandigarh,0,0,25.0,1,52,42,0,0
Unaided - Private,DIPLOMA,APPLIED ARTS AND CRAFTS,Andhra Pradesh ,0,0,8.0,1,60,46,0,0
Unaided - Private,DIPLOMA,APPLIED ARTS AND CRAFTS,Karnataka,0,0,57.0,8,400,181,86,47
Unaided - Private,DIPLOMA,APPLIED ARTS AND CRAFTS,Karnataka,0,1,9.0,1,60,52,45,20
Unaided - Private,DIPLOMA,APPLIED ARTS AND CRAFTS,Karnataka,1,0,10.0,2,90,70,48,20
Unaided - Private,DIPLOMA,APPLIED ARTS AND CRAFTS,Karnataka,1,1,9.0,1,60,52,45,20
Unaided - Private,DIPLOMA,APPLIED ARTS AND CRAFTS,Rajasthan,0,0,11.0,1,60,47,22,12
Unaided - Private,DIPLOMA,APPLIED ARTS AND CRAFTS,Rajasthan,0,1,11.0,1,60,47,22,12
Unaided - Private,DIPLOMA,APPLIED ARTS AND CRAFTS,Uttar Pradesh,0,0,64.0,5,465,157,126,89
Unaided - Private,DIPLOMA,APPLIED ARTS AND CRAFTS,Uttar Pradesh,0,1,13.0,3,315,40,35,25
Unaided - Private,DIPLOMA,APPLIED ARTS AND CRAFTS,Uttarakhand,0,0,8.0,1,120,109,85,60
Unaided - Private,DIPLOMA,APPLIED ARTS AND CRAFTS,Uttarakhand,0,1,7.0,1,120,109,85,60
Government,DIPLOMA,APPLIED ARTS AND CRAFTS,Andhra Pradesh ,0,0,81.0,1,20,20,19,0
Government,DIPLOMA,APPLIED ARTS AND CRAFTS,Andhra Pradesh ,0,1,22.0,1,20,20,19,0
Government,DIPLOMA,APPLIED ARTS AND CRAFTS,Arunachal Pradesh ,0,0,3.0,1,20,4,0,1
Government,DIPLOMA,APPLIED ARTS AND CRAFTS,Assam,0,0,16.0,1,17,8,7,7
Government,DIPLOMA,APPLIED ARTS AND CRAFTS,Bihar,0,0,4.0,1,30,14,3,1
Government,DIPLOMA,APPLIED ARTS AND CRAFTS,Bihar,0,1,2.0,1,30,14,3,1
Government,DIPLOMA,APPLIED ARTS AND CRAFTS,Chhattisgarh,0,0,9.0,3,90,59,18,12
Government,DIPLOMA,APPLIED ARTS AND CRAFTS,Chhattisgarh,0,1,9.0,3,90,59,18,12
Government,DIPLOMA,APPLIED ARTS AND CRAFTS,Delhi,0,0,5.0,1,50,57,39,32
Government,DIPLOMA,APPLIED ARTS AND CRAFTS,Delhi,0,1,5.0,1,50,57,39,32
Government,DIPLOMA,APPLIED ARTS AND CRAFTS,Jammu and Kashmir,0,0,9.0,1,30,0,0,0
Government,DIPLOMA,APPLIED ARTS AND CRAFTS,Karnataka,0,0,39.0,4,480,387,168,68
Government,DIPLOMA,APPLIED ARTS AND CRAFTS,Karnataka,0,1,30.0,3,280,213,73,10
Government,DIPLOMA,APPLIED ARTS AND CRAFTS,Madhya Pradesh,0,0,4.0,2,156,69,12,0
Government,DIPLOMA,APPLIED ARTS AND CRAFTS,Meghalaya,0,0,4.0,1,30,30,22,7
Government,DIPLOMA,APPLIED ARTS AND CRAFTS,Mizoram,0,0,1.0,1,40,40,0,0
Government,DIPLOMA,APPLIED ARTS AND CRAFTS,Mizoram,0,1,1.0,1,40,40,0,0
Government,DIPLOMA,APPLIED ARTS AND CRAFTS,Rajasthan,0,0,115.0,9,1019,734,423,208
Government,DIPLOMA,APPLIED ARTS AND CRAFTS,Rajasthan,0,1,112.0,8,959,734,421,208
Government,DIPLOMA,APPLIED ARTS AND CRAFTS,Tamil Nadu,0,0,37.0,1,10,10,10,10
Government,DIPLOMA,APPLIED ARTS AND CRAFTS,Tamil Nadu,0,1,4.0,1,10,10,10,10
Government,DIPLOMA,APPLIED ARTS AND CRAFTS,Uttar Pradesh,0,1,11.0,3,180,168,143,50
Government,DIPLOMA,APPLIED ARTS AND CRAFTS,Uttar Pradesh,0,0,13.0,3,180,168,143,50
Govt aided,DIPLOMA,APPLIED ARTS AND CRAFTS,Delhi,0,0,2.0,1,20,20,14,8
Govt aided,DIPLOMA,APPLIED ARTS AND CRAFTS,Karnataka,1,0,4.0,1,40,8,2,0
Govt aided,DIPLOMA,APPLIED ARTS AND CRAFTS,Karnataka,0,0,7.0,2,85,28,19,13
Govt aided,DIPLOMA,APPLIED ARTS AND CRAFTS,Maharashtra,0,0,3.0,1,20,9,4,4
Govt aided,DIPLOMA,APPLIED ARTS AND CRAFTS,Maharashtra,0,1,3.0,1,20,9,4,4
Unaided - Private,UG,ARCHITECTURE AND TOWN PLANNING,Andhra Pradesh ,0,0,87.0,1,120,80,0,0
Unaided - Private,UG,ARCHITECTURE AND TOWN PLANNING,Assam,0,0,20.0,1,80,36,0,0
Unaided - Private,UG,ARCHITECTURE AND TOWN PLANNING,Delhi,0,0,57.0,2,240,176,78,40
Unaided - Private,UG,ARCHITECTURE AND TOWN PLANNING,Gujarat,0,0,42.0,7,600,305,0,0
Unaided - Private,UG,ARCHITECTURE AND TOWN PLANNING,Haryana,0,0,110.0,6,460,114,34,17
Unaided - Private,UG,ARCHITECTURE AND TOWN PLANNING,Karnataka,0,0,285.0,11,920,798,187,37
Unaided - Private,UG,ARCHITECTURE AND TOWN PLANNING,Karnataka,1,0,38.0,2,180,101,22,11
Unaided - Private,UG,ARCHITECTURE AND TOWN PLANNING,Kerala,0,0,37.0,4,280,199,26,0
Unaided - Private,UG,ARCHITECTURE AND TOWN PLANNING,Kerala,1,0,13.0,2,100,80,26,0
Unaided - Private,UG,ARCHITECTURE AND TOWN PLANNING,Madhya Pradesh,0,0,106.0,4,320,199,154,90
Unaided - Private,UG,ARCHITECTURE AND TOWN PLANNING,Maharashtra,1,0,28.0,2,180,120,0,0
Unaided - Private,UG,ARCHITECTURE AND TOWN PLANNING,Maharashtra,0,0,143.0,9,690,302,102,35
Unaided - Private,UG,ARCHITECTURE AND TOWN PLANNING,Punjab,0,0,167.0,5,480,197,129,54
Unaided - Private,UG,ARCHITECTURE AND TOWN PLANNING,Rajasthan,0,0,21.0,1,40,38,0,0
Unaided - Private,UG,ARCHITECTURE AND TOWN PLANNING,Tamil Nadu,0,0,219.0,8,600,478,152,63
Unaided - Private,UG,ARCHITECTURE AND TOWN PLANNING,Tamil Nadu,1,0,71.0,3,160,185,114,35
Unaided - Private,UG,ARCHITECTURE AND TOWN PLANNING,Uttar Pradesh,0,0,610.0,26,2800,883,283,137
Unaided - Private,UG,ARCHITECTURE AND TOWN PLANNING,West Bengal,0,0,26.0,3,200,78,0,0
Deemed University(Government),UG,ARCHITECTURE AND TOWN PLANNING,Delhi,0,0,11.0,1,141,0,0,0
Government,UG,ARCHITECTURE AND TOWN PLANNING,Delhi,0,0,26.0,1,80,0,0,0
Government,UG,ARCHITECTURE AND TOWN PLANNING,Haryana,0,0,15.0,1,80,84,0,0
Government,UG,ARCHITECTURE AND TOWN PLANNING,Karnataka,0,0,14.0,1,40,42,0,0
Government,UG,ARCHITECTURE AND TOWN PLANNING,Kerala,0,0,26.0,3,104,99,55,7
Government,UG,ARCHITECTURE AND TOWN PLANNING,Punjab,0,0,8.0,1,60,40,0,0
Government,UG,ARCHITECTURE AND TOWN PLANNING,Uttar Pradesh,0,0,36.0,2,80,47,51,51
Government,UG,ARCHITECTURE AND TOWN PLANNING,West Bengal,0,0,1.0,1,24,25,0,0
Govt aided,UG,ARCHITECTURE AND TOWN PLANNING,Gujarat,0,0,36.0,2,110,38,40,0
Govt aided,UG,ARCHITECTURE AND TOWN PLANNING,Jharkhand,0,0,13.0,1,40,42,37,0
Govt aided,UG,ARCHITECTURE AND TOWN PLANNING,Karnataka,0,0,64.0,3,220,208,107,8
Govt aided,UG,ARCHITECTURE AND TOWN PLANNING,Kerala,0,0,29.0,1,80,60,41,0
Govt aided,UG,ARCHITECTURE AND TOWN PLANNING,Kerala,1,0,29.0,1,80,60,41,0
Govt aided,UG,ARCHITECTURE AND TOWN PLANNING,Madhya Pradesh,0,0,3.0,1,40,41,41,0
Govt aided,UG,ARCHITECTURE AND TOWN PLANNING,Tamil Nadu,0,0,30.0,1,80,80,80,80
Private-Aided,UG,ARCHITECTURE AND TOWN PLANNING,Maharashtra,0,0,16.0,1,120,120,0,0
University Managed,UG,ARCHITECTURE AND TOWN PLANNING,Punjab,0,0,41.0,1,80,80,80,0
Unaided - Private,PG,ARCHITECTURE AND TOWN PLANNING,Haryana,0,0,4.0,2,42,16,0,0
Unaided - Private,PG,ARCHITECTURE AND TOWN PLANNING,Karnataka,0,0,14.0,2,38,25,26,1
Unaided - Private,PG,ARCHITECTURE AND TOWN PLANNING,Maharashtra,0,0,3.0,1,60,0,0,0
Unaided - Private,PG,ARCHITECTURE AND TOWN PLANNING,Punjab,0,0,10.0,1,18,12,1,1
Unaided - Private,PG,ARCHITECTURE AND TOWN PLANNING,Tamil Nadu,0,0,2.0,1,18,2,0,0
Unaided - Private,PG,ARCHITECTURE AND TOWN PLANNING,Tamil Nadu,1,0,1.0,1,18,2,0,0
Unaided - Private,PG,ARCHITECTURE AND TOWN PLANNING,Uttar Pradesh,0,0,37.0,4,108,0,0,0
Central University,PG,ARCHITECTURE AND TOWN PLANNING,Rajasthan,0,0,8.0,1,18,11,11,7
Deemed University(Government),PG,ARCHITECTURE AND TOWN PLANNING,Delhi,0,0,20.0,1,123,0,0,0
Government,PG,ARCHITECTURE AND TOWN PLANNING,Delhi,0,0,14.0,1,120,0,0,0
Government,PG,ARCHITECTURE AND TOWN PLANNING,Haryana,0,0,8.0,1,18,7,0,0
Government,PG,ARCHITECTURE AND TOWN PLANNING,Karnataka,0,0,8.0,1,36,0,0,0
Government,PG,ARCHITECTURE AND TOWN PLANNING,Kerala,0,0,11.0,2,54,51,38,48
Government,PG,ARCHITECTURE AND TOWN PLANNING,Uttar Pradesh,0,0,8.0,1,18,7,54,54
Government,PG,ARCHITECTURE AND TOWN PLANNING,West Bengal,0,0,8.0,1,14,10,0,0
Govt aided,PG,ARCHITECTURE AND TOWN PLANNING,Gujarat,0,0,47.0,2,240,25,28,0
Govt aided,PG,ARCHITECTURE AND TOWN PLANNING,Jharkhand,0,0,4.0,1,12,7,7,0
Govt aided,PG,ARCHITECTURE AND TOWN PLANNING,Kerala,1,0,3.0,1,18,0,0,0
Govt aided,PG,ARCHITECTURE AND TOWN PLANNING,Kerala,0,0,3.0,1,18,0,0,0
Govt aided,PG,ARCHITECTURE AND TOWN PLANNING,Madhya Pradesh,0,0,7.0,1,18,0,0,0
Govt aided,PG,ARCHITECTURE AND TOWN PLANNING,West Bengal,0,0,8.0,1,8,6,0,0
Unaided - Private,DIPLOMA,ARCHITECTURE AND TOWN PLANNING,Delhi,0,0,6.0,1,60,58,15,11
Unaided - Private,DIPLOMA,ARCHITECTURE AND TOWN PLANNING,Gujarat,0,0,16.0,4,270,248,95,4
Unaided - Private,DIPLOMA,ARCHITECTURE AND TOWN PLANNING,Haryana,0,0,1.0,1,60,34,0,0
Unaided - Private,DIPLOMA,ARCHITECTURE AND TOWN PLANNING,Jammu and Kashmir,0,0,6.0,2,70,12,14,4
Unaided - Private,DIPLOMA,ARCHITECTURE AND TOWN PLANNING,Jammu and Kashmir,0,1,3.0,1,30,0,0,0
Unaided - Private,DIPLOMA,ARCHITECTURE AND TOWN PLANNING,Karnataka,0,0,24.0,4,170,108,33,0
Unaided - Private,DIPLOMA,ARCHITECTURE AND TOWN PLANNING,Karnataka,0,1,7.0,1,40,33,18,0
Unaided - Private,DIPLOMA,ARCHITECTURE AND TOWN PLANNING,Kerala,0,0,6.0,1,66,66,45,43
Unaided - Private,DIPLOMA,ARCHITECTURE AND TOWN PLANNING,Kerala,1,0,6.0,1,66,66,45,43
Unaided - Private,DIPLOMA,ARCHITECTURE AND TOWN PLANNING,Maharashtra,0,0,16.0,2,240,93,48,0
Unaided - Private,DIPLOMA,ARCHITECTURE AND TOWN PLANNING,Maharashtra,1,0,1.0,1,60,50,48,0
Unaided - Private,DIPLOMA,ARCHITECTURE AND TOWN PLANNING,Uttar Pradesh,0,0,8.0,2,100,40,16,15
Unaided - Private,DIPLOMA,ARCHITECTURE AND TOWN PLANNING,West Bengal,0,0,5.0,1,30,35,32,25
Government,DIPLOMA,ARCHITECTURE AND TOWN PLANNING,Andhra Pradesh ,0,0,14.0,1,60,60,42,20
Government,DIPLOMA,ARCHITECTURE AND TOWN PLANNING,Chandigarh,0,0,7.0,2,63,69,35,17
Government,DIPLOMA,ARCHITECTURE AND TOWN PLANNING,Chhattisgarh,0,0,4.0,2,60,17,6,2
Government,DIPLOMA,ARCHITECTURE AND TOWN PLANNING,Chhattisgarh,0,1,4.0,2,60,17,6,2
Government,DIPLOMA,ARCHITECTURE AND TOWN PLANNING,Delhi,0,0,4.0,1,95,105,76,71
Government,DIPLOMA,ARCHITECTURE AND TOWN PLANNING,Delhi,0,1,4.0,1,95,105,76,71
Government,DIPLOMA,ARCHITECTURE AND TOWN PLANNING,Gujarat,0,0,23.0,3,184,182,90,22
Government,DIPLOMA,ARCHITECTURE AND TOWN PLANNING,Gujarat,0,1,16.0,2,124,121,60,0
Government,DIPLOMA,ARCHITECTURE AND TOWN PLANNING,Haryana,0,0,4.0,3,150,114,0,21
Government,DIPLOMA,ARCHITECTURE AND TOWN PLANNING,Haryana,0,1,3.0,1,60,43,0,8
Government,DIPLOMA,ARCHITECTURE AND TOWN PLANNING,Himachal Pradesh,0,0,9.0,1,30,33,34,0
Government,DIPLOMA,ARCHITECTURE AND TOWN PLANNING,Jammu and Kashmir,0,0,9.0,1,60,34,0,0
Government,DIPLOMA,ARCHITECTURE AND TOWN PLANNING,Jharkhand,0,0,1.0,1,60,57,47,29
Government,DIPLOMA,ARCHITECTURE AND TOWN PLANNING,Jharkhand,0,1,1.0,1,60,57,47,29
Government,DIPLOMA,ARCHITECTURE AND TOWN PLANNING,Kerala,0,0,1.0,1,60,60,28,3
Government,DIPLOMA,ARCHITECTURE AND TOWN PLANNING,Madhya Pradesh,0,0,7.0,2,180,142,122,68
Government,DIPLOMA,ARCHITECTURE AND TOWN PLANNING,Madhya Pradesh,0,1,3.0,1,120,60,57,46
Government,DIPLOMA,ARCHITECTURE AND TOWN PLANNING,Maharashtra,0,0,2.0,2,160,141,83,83
Government,DIPLOMA,ARCHITECTURE AND TOWN PLANNING,Meghalaya,0,0,5.0,1,30,30,24,1
Government,DIPLOMA,ARCHITECTURE AND TOWN PLANNING,Punjab,0,0,10.0,2,90,58,67,42
Government,DIPLOMA,ARCHITECTURE AND TOWN PLANNING,Punjab,0,1,10.0,2,90,58,67,42
Government,DIPLOMA,ARCHITECTURE AND TOWN PLANNING,Tamil Nadu,0,0,5.0,1,40,40,35,35
Government,DIPLOMA,ARCHITECTURE AND TOWN PLANNING,Tamil Nadu,0,1,5.0,1,40,40,35,35
Government,DIPLOMA,ARCHITECTURE AND TOWN PLANNING,Uttar Pradesh,0,0,15.0,4,480,298,233,81
Government,DIPLOMA,ARCHITECTURE AND TOWN PLANNING,Uttar Pradesh,0,1,5.0,2,180,108,97,34
Government,DIPLOMA,ARCHITECTURE AND TOWN PLANNING,Uttarakhand,0,1,3.0,1,40,22,20,15
Government,DIPLOMA,ARCHITECTURE AND TOWN PLANNING,Uttarakhand,0,0,3.0,1,40,22,20,15
Government,DIPLOMA,ARCHITECTURE AND TOWN PLANNING,West Bengal,0,1,7.0,2,120,115,25,30
Government,DIPLOMA,ARCHITECTURE AND TOWN PLANNING,West Bengal,0,0,10.0,3,150,145,48,30
Govt aided,DIPLOMA,ARCHITECTURE AND TOWN PLANNING,Karnataka,0,0,4.0,2,80,51,18,5
Govt aided,DIPLOMA,ARCHITECTURE AND TOWN PLANNING,Maharashtra,0,1,2.0,1,30,30,27,27
Govt aided,DIPLOMA,ARCHITECTURE AND TOWN PLANNING,Maharashtra,0,0,2.0,1,30,30,27,27
Govt aided,DIPLOMA,ARCHITECTURE AND TOWN PLANNING,Punjab,0,0,5.0,1,60,37,16,2
Govt aided,DIPLOMA,ARCHITECTURE AND TOWN PLANNING,Tamil Nadu,0,0,4.0,1,30,33,32,25
Govt aided,DIPLOMA,ARCHITECTURE AND TOWN PLANNING,Uttar Pradesh,0,0,4.0,1,60,60,38,30
University Managed,DIPLOMA,ARCHITECTURE AND TOWN PLANNING,Gujarat,0,0,4.0,1,60,63,52,0
Unaided - Private,UG,HOTEL MANAGEMENT AND CATERING,Assam,0,0,13.0,1,60,32,19,19
Unaided - Private,UG,HOTEL MANAGEMENT AND CATERING,Delhi,0,0,31.0,1,120,121,95,83
Unaided - Private,UG,HOTEL MANAGEMENT AND CATERING,Gujarat,0,0,33.0,2,120,115,47,49
Unaided - Private,UG,HOTEL MANAGEMENT AND CATERING,Gujarat,1,0,16.0,1,60,62,47,36
Unaided - Private,UG,HOTEL MANAGEMENT AND CATERING,Haryana,0,0,79.0,5,300,206,88,83
Unaided - Private,UG,HOTEL MANAGEMENT AND CATERING,Karnataka,0,0,284.0,14,1255,716,370,275
Unaided - Private,UG,HOTEL MANAGEMENT AND CATERING,Karnataka,1,0,28.0,1,120,36,18,6
Unaided - Private,UG,HOTEL MANAGEMENT AND CATERING,Kerala,0,0,94.0,6,420,329,171,161
Unaided - Private,UG,HOTEL MANAGEMENT AND CATERING,Kerala,1,0,35.0,2,180,136,67,74
Unaided - Private,UG,HOTEL MANAGEMENT AND CATERING,Madhya Pradesh,0,0,74.0,4,300,225,98,61
Unaided - Private,UG,HOTEL MANAGEMENT AND CATERING,Maharashtra,0,0,172.0,9,670,610,379,307
Unaided - Private,UG,HOTEL MANAGEMENT AND CATERING,Maharashtra,1,0,53.0,1,240,180,177,177
Unaided - Private,UG,HOTEL MANAGEMENT AND CATERING,Punjab,0,0,65.0,5,420,200,129,81
Unaided - Private,UG,HOTEL MANAGEMENT AND CATERING,Rajasthan,0,0,74.0,5,510,106,70,48
Unaided - Private,UG,HOTEL MANAGEMENT AND CATERING,Uttar Pradesh,0,0,293.0,14,1260,798,440,320
Unaided - Private,UG,HOTEL MANAGEMENT AND CATERING,Uttar Pradesh,0,1,3.0,1,60,0,0,0
Unaided - Private,UG,HOTEL MANAGEMENT AND CATERING,Uttarakhand,0,0,55.0,2,150,140,93,88
Unaided - Private,UG,HOTEL MANAGEMENT AND CATERING,West Bengal,0,0,78.0,5,405,186,160,154
Unaided - Private,UG,HOTEL MANAGEMENT AND CATERING,West Bengal,1,0,16.0,1,60,60,60,55
Government,UG,HOTEL MANAGEMENT AND CATERING,Maharashtra,0,0,15.0,1,60,61,46,35
Government,UG,HOTEL MANAGEMENT AND CATERING,Uttarakhand,0,0,8.0,2,120,67,49,49
Govt aided,UG,HOTEL MANAGEMENT AND CATERING,Jharkhand,0,0,12.0,1,60,38,21,20
Govt aided,UG,HOTEL MANAGEMENT AND CATERING,Maharashtra,0,0,16.0,1,40,32,20,17
Govt aided,UG,HOTEL MANAGEMENT AND CATERING,Maharashtra,0,1,16.0,1,40,32,20,17
